Complaint Date,Model_masked,predicted_p10,predicted_complaints,predicted_p90
2026-02-28,AAA1,1,1,2
2026-02-28,AAA12,1,2,4
2026-02-28,AAA2,3,4,6
2026-02-28,AAA21,1,2,3
2026-02-28,AAA3,3,5,7
2026-02-28,AAA31,1,2,2
2026-02-28,AAA4,5,5,9
2026-02-28,AAA42,1,2,4
2026-02-28,AAA51,1,2,2
2026-02-28,AAA6,3,4,6
2026-02-28,AAA63,1,2,4
2026-02-28,AAA72,4,4,6
2026-02-28,AAA84,1,2,3
2026-02-28,AAA9,1,2,2
2026-02-28,AAA93,2,2,6
2026-02-28,AAC2,1,2,3
2026-02-28,AB2,1,2,3
2026-02-28,AB3,1,2,5
2026-02-28,AB4,2,3,5
2026-02-28,AB42,1,2,3
2026-02-28,AB51,1,2,3
2026-02-28,AB6,2,4,5
2026-02-28,AB63,1,1,2
2026-02-28,AB72,1,2,3
2026-02-28,AB9,1,1,1
2026-02-28,AB93,1,2,2
2026-02-28,AF2,1,2,5
2026-03-31,AAA1,1,1,3
2026-03-31,AAA12,1,2,5
2026-03-31,AAA2,4,5,10
2026-03-31,AAA21,1,2,4
2026-03-31,AAA3,4,7,13
2026-03-31,AAA31,1,2,3
2026-03-31,AAA4,5,6,11
2026-03-31,AAA42,1,2,5
2026-03-31,AAA51,1,1,4
2026-03-31,AAA6,4,6,10
2026-03-31,AAA63,1,2,5
2026-03-31,AAA72,4,6,9
2026-03-31,AAA84,1,2,4
2026-03-31,AAA9,1,2,3
2026-03-31,AAA93,2,3,7
2026-03-31,AAC2,1,3,4
2026-03-31,AB2,1,3,5
2026-03-31,AB3,1,2,8
2026-03-31,AB4,2,4,7
2026-03-31,AB42,1,2,4
2026-03-31,AB51,1,3,6
2026-03-31,AB6,2,5,8
2026-03-31,AB63,1,2,4
2026-03-31,AB72,1,2,5
2026-03-31,AB9,1,1,2
2026-03-31,AB93,1,2,4
2026-03-31,AF2,1,2,3
2026-04-30,AAA1,1,1,2
2026-04-30,AAA12,1,2,4
2026-04-30,AAA2,3,4,8
2026-04-30,AAA21,1,2,4
2026-04-30,AAA3,4,6,10
2026-04-30,AAA31,1,2,3
2026-04-30,AAA4,4,5,8
2026-04-30,AAA42,1,2,3
2026-04-30,AAA51,1,2,4
2026-04-30,AAA6,4,7,9
2026-04-30,AAA63,1,2,4
2026-04-30,AAA72,3,4,6
2026-04-30,AAA84,1,2,3
2026-04-30,AAA9,1,2,3
2026-04-30,AAA93,2,2,6
2026-04-30,AAC2,1,3,4
2026-04-30,AB2,1,2,4
2026-04-30,AB3,1,2,3
2026-04-30,AB4,1,3,6
2026-04-30,AB42,1,2,4
2026-04-30,AB51,1,3,5
2026-04-30,AB6,2,5,6
2026-04-30,AB63,1,2,3
2026-04-30,AB72,1,3,3
2026-04-30,AB9,1,1,2
2026-04-30,AB93,1,2,3
2026-04-30,AF2,1,2,3
